/*
0: GoldenArrow
1: MyCiti
2: Train */

route_id,agency_id,route_stops,route_start,route_end
107,1,CAMPS BAY-CIVIC CENTRE,CAMPS BAY,CIVIC CENTRE
104,1,ORANJEZICHT-GARDENS-ADDERLEY-WATERFRONT,Sea Point,Civic Centre
105,1,SEA POINT-FRESNAYE-CIVIC CENTRE,Sea Point,Civic Centre
103,1,ORANJEZICHT-GARDENS-CIVIC CENTRE,Oranjezicht,Civic Centre
108,1,HANGBERG-HOUT BAY HARBOUR-SEA POINT,Hangberg,Adderley
101,1,VREDEHOEK-GARDENS-CIVIC CENTRE,Vredehoek,Civic Centre
106,1,CAMPS BAY-CIVIC CENTRE,Camps Bay,Civic Centre
110,1,TABLE MOUNTAIN,,                                                      #MISSING DATA ROUTE 110
113,1,UPPER KLOOF STREET-ADDERLEY-WATERFRONT,Upper Kloof St,Adderley
114,1,SEA POINT-CIVIC CENTRE,,                                              #MISSING DATA ROUTE 114
102,1,SALT RIVER RAIL-WALMER ESTATE-CIVIC CENTRE,Salt River,Civic Centre
111,1,VREDEHOEK-GARDENS-CIVIC CENTRE,Vredehoek,Civic Centre
115,1,SEA POINT-GRAND PARADE,Sea Point,GRAND PARADE
109,1,HOUT BAY-IMIZAMO YETHU-SEA POINT,Hout Bay,Adderley
213,1,SUNNINGDALE-PARKLANDS-TABLE VIEW-SUNNINGDALE,Table View,
118,1,HANGBERG-IMIZAMO YETHU-SEA POINT-ADDERLEY,Hangberg,Adderley
214B,1,TABLE VIEW-MELKBOSCH VILLAGE,MelkboschVillage,Table View
214C,1,TABLE VIEW-MELKBOSSTRAND-DUYNEFONTEIN,Duynefontein,Table View
216,1,BIG BAY-WOOD DRIVE-WOOD,Big Bay,Wood
215,1,SUNNINGDALE-GIE ROAD-WOOD,Sunningdale,Wood
234,1,MAMRE(CROWN)-ATLANTIS,Crown,Atlantis
223,1,SUNNINGDALE-WEST BEACH-TABLE VIEW-SUNNINGDALE,Table View,
233,1,SAXONSEA-ATLANTIS,Saxonsea,Atlantis
232,1,ATLANTIS INDUSTRIA WEST-PROTEA PARK-AVONDALE-ATLANTIS,Avondale,Atlantis
214A,1,PARKLANDS-TABLE VIEW,Marine Circle,Dunoon
231,1,ATLANTIS INDUSTRIA EAST-ATLANTIS,Atlantis INDUSTRIA East,Atlantis
235,1,PELLA-ATLANTIS,Pella,Atlantis
236,1,SHERWOOD-ATLANTIS,Sherwood,Atlantis
237,1,ROBINVALE-ATLANTIS,Robinvale,Atlantis
260,1,SUMMER GREENS-WOODBRIDGE ISLAND,Woodbridge Island,SummerGreens
245,1,SAXONSEA-GOODE HOOP-ATLANTIS,Saxonsea,Atlantis
246,1,MAMRE (FRANS)-ATLANTIS,Frans,Atlantis
244,1,AVONDALE-PROTEA PARK-ATLANTIS INDUSTRIA WEST-ATLANTIS,Avondale,Atlantis
262,1,SUMMER GREENS-CENTURY CITY-WOODBRIDGE ISLAND,WoodbridgeIsland,SummerGreens
A01,1,AIRPORT - CIVIC CENTRE,,                                                  #MISSING ROUTE DATA ROUTE A01
D02,1,KHAYELITSHA WEST-CIVIC CENTRE,Civic Centre,Khayelitsha West
D01,1,KHAYELITSHA EAST-CIVIC CENTRE,Civic Centre,Khayelitsha East
D05,1,DUNOON-PARKLANDS-TABLE VIEW-CIVIC CENTRE,Dunoon,Waterfront
D03,1,MITCHELLS PLAIN EAST-CIVIC CENTRE,Civic Centre,MitchellsPlainE
D08,1,DUNOON-MONTAGUE GARDENS-CENTURY CITY,Century City,Dunoon
D04,1,KAPTEINSKLIP-MITCHELLS PLAIN TOWN CENTRE-CIVIC CENTRE,Civic Centre,Kapteinsklip
T01X,1,DUNOON-TABLE VIEW-CIVIC CENTRE,Dunoon,Civic Centre
T02X,1,ATLANTIS-TABLE VIEW-CIVIC CENTRE,Civic Centre,Atlantis
261,1,CENTURY CITY RAIL-OMURAMBA-SALT RIVER-ADDERLEY,Omuramba,Adderley
T02,1,CIVIC CENTRE-TABLE VIEW-ATLANTIS,Civic Centre,Atlantis
T04,1,DUNOON-OMURAMBA-CENTURY CITY,Century City,Dunoon
T01,1,DUNOON-TABLE VIEW-CIVIC CENTRE-WATERFRONT,Dunoon,Waterfront
T03,1,ATLANTIS-MELKBOSSTRAND-TABLE VIEW-CENTURY CITY,Atlantis,Century City
