service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
mr_0,1,1,1,1,1,0,0,20240101,20241231
mr_1,0,0,0,0,0,1,0,20240101,20241231
mr_2,0,0,0,0,0,0,1,20240101,20241231
mc_0,1,1,1,1,1,0,0,20250101,20251231
mc_1,0,0,0,0,0,1,0,20250101,20251231
mc_2,0,0,0,0,0,0,1,20250101,20251231
ga_0,1,1,1,1,1,1,0,20240901,20241231
ga_1,0,0,0,0,0,1,0,20240901,20241231
ga_2,0,0,0,0,0,0,1,20240901,20241231
ga_3,0,0,0,0,0,1,0,20240901,20241231
ga_4,0,0,0,0,0,0,1,20240901,20241231
ga_5,0,0,0,0,0,1,0,20240901,20241231
ga_6,0,0,0,0,0,0,1,20240901,20241231
ga_7,0,0,0,0,0,1,0,20240901,20241231
ga_2,0,0,0,0,0,0,1,20240901,20241231
