service_id,date,exception_type
ga_0,20240101,2
ga_0,20240321,2
ga_0,20240327,2
ga_0,20240401,2
ga_0,20240427,2
ga_0,20240501,2
ga_0,20240616,2
ga_0,20240609,2
ga_0,20240816,2
ga_0,20240924,2
ga_0,20241216,2
ga_0,20241225,2
ga_0,20241226,2
ga_1,20240101,2
ga_1,20240321,2
ga_1,20240327,2
ga_1,20240401,2
ga_1,20240427,2
ga_1,20240501,2
ga_1,20240616,2
ga_1,20240609,2
ga_1,20240816,2
ga_1,20240924,2
ga_1,20241216,2
ga_1,20241225,2
ga_1,20241226,2
ga_2,20240101,2
ga_2,20240321,2
ga_2,20240327,2
ga_2,20240401,2
ga_2,20240427,2
ga_2,20240501,2
ga_2,20240616,2
ga_2,20240609,2
ga_2,20240816,2
ga_2,20240924,2
ga_2,20241216,2
ga_2,20241225,2
ga_2,20241226,2
mr_2,20240101,1
mr_0,20240101,2
mr_2,20240321,1
mr_0,20240321,2
mr_2,20240329,1
mr_0,20240329,2
mr_2,20240401,1
mr_0,20240401,2
mr_2,20240427,1
mr_2,20240501,1
mr_0,20240501,2
mr_2,20240617,1
mr_2,20240809,1
mr_2,20240924,1
mr_2,20241216,1
mr_2,20241225,1
mr_0,20241225,2
mr_2,20241226,1
mr_0,20241226,2
mc_0,20250101,2
mc_0,20250321,2
mc_0,20250418,2
mc_0,20250421,2
mc_0,20250427,2
mc_0,20250501,2
mc_0,20250616,2
mc_0,20250809,2
mc_0,20250924,2
mc_0,20251216,2
mc_0,20251225,2
mc_0,20251226,2
mc_1,20250101,2
mc_1,20250427,2
mc_1,20250501,2
mc_1,20251225,2
mc_1,20251226,2
mc_2,20250101,2
mc_2,20250427,2
mc_2,20250501,2
mc_2,20251225,2
mc_2,20251226,2
