route_id,agency_id,route_stops,route_start,route_end
mc_107,1,CAMPS BAY-CIVIC CENTRE,CAMPS BAY,CIVIC CENTRE
mc_104,1,ORANJEZICHT-GARDENS-ADDERLEY-WATERFRONT,Sea Point,Civic Centre
mc_105,1,SEA POINT-FRESNAYE-CIVIC CENTRE,Sea Point,Civic Centre
mc_103,1,ORANJEZICHT-GARDENS-CIVIC CENTRE,Oranjezicht,Civic Centre
mc_108,1,HANGBERG-HOUT BAY HARBOUR-SEA POINT,Hangberg,Adderley
mc_101,1,VREDEHOEK-GARDENS-CIVIC CENTRE,Vredehoek,Civic Centre
mc_106,1,CAMPS BAY-CIVIC CENTRE,Camps Bay,Civic Centre
mc_110,1,TABLE MOUNTAIN,,                                                      #MISSING DATA ROUTE 110
mc_113,1,UPPER KLOOF STREET-ADDERLEY-WATERFRONT,Upper Kloof St,Adderley
mc_114,1,SEA POINT-CIVIC CENTRE,,                                              #MISSING DATA ROUTE 114
mc_102,1,SALT RIVER RAIL-WALMER ESTATE-CIVIC CENTRE,Salt River,Civic Centre
mc_111,1,VREDEHOEK-GARDENS-CIVIC CENTRE,Vredehoek,Civic Centre
mc_115,1,SEA POINT-GRAND PARADE,Sea Point,GRAND PARADE
mc_109,1,HOUT BAY-IMIZAMO YETHU-SEA POINT,Hout Bay,Adderley
mc_213,1,SUNNINGDALE-PARKLANDS-TABLE VIEW-SUNNINGDALE,Table View,
mc_118,1,HANGBERG-IMIZAMO YETHU-SEA POINT-ADDERLEY,Hangberg,Adderley
mc_214B,1,TABLE VIEW-MELKBOSCH VILLAGE,MelkboschVillage,Table View
mc_214C,1,TABLE VIEW-MELKBOSSTRAND-DUYNEFONTEIN,Duynefontein,Table View
mc_216,1,BIG BAY-WOOD DRIVE-WOOD,Big Bay,Wood
mc_215,1,SUNNINGDALE-GIE ROAD-WOOD,Sunningdale,Wood
mc_234,1,MAMRE(CROWN)-ATLANTIS,Crown,Atlantis
mc_223,1,SUNNINGDALE-WEST BEACH-TABLE VIEW-SUNNINGDALE,Table View,
mc_233,1,SAXONSEA-ATLANTIS,Saxonsea,Atlantis
mc_232,1,ATLANTIS INDUSTRIA WEST-PROTEA PARK-AVONDALE-ATLANTIS,Avondale,Atlantis
mc_214A,1,PARKLANDS-TABLE VIEW,Marine Circle,Dunoon
mc_231,1,ATLANTIS INDUSTRIA EAST-ATLANTIS,Atlantis INDUSTRIA East,Atlantis
mc_235,1,PELLA-ATLANTIS,Pella,Atlantis
mc_236,1,SHERWOOD-ATLANTIS,Sherwood,Atlantis
mc_237,1,ROBINVALE-ATLANTIS,Robinvale,Atlantis
mc_260,1,SUMMER GREENS-WOODBRIDGE ISLAND,Woodbridge Island,SummerGreens
mc_245,1,SAXONSEA-GOODE HOOP-ATLANTIS,Saxonsea,Atlantis
mc_246,1,MAMRE (FRANS)-ATLANTIS,Frans,Atlantis
mc_244,1,AVONDALE-PROTEA PARK-ATLANTIS INDUSTRIA WEST-ATLANTIS,Avondale,Atlantis
mc_262,1,SUMMER GREENS-CENTURY CITY-WOODBRIDGE ISLAND,WoodbridgeIsland,SummerGreens
mc_A01,1,AIRPORT - CIVIC CENTRE,,                                                  #MISSING ROUTE DATA ROUTE A01
mc_D02,1,KHAYELITSHA WEST-CIVIC CENTRE,Civic Centre,Khayelitsha West
mc_D01,1,KHAYELITSHA EAST-CIVIC CENTRE,Civic Centre,Khayelitsha East
mc_D05,1,DUNOON-PARKLANDS-TABLE VIEW-CIVIC CENTRE,Dunoon,Waterfront
mc_D03,1,MITCHELLS PLAIN EAST-CIVIC CENTRE,Civic Centre,MitchellsPlainE
mc_D08,1,DUNOON-MONTAGUE GARDENS-CENTURY CITY,Century City,Dunoon
mc_D04,1,KAPTEINSKLIP-MITCHELLS PLAIN TOWN CENTRE-CIVIC CENTRE,Civic Centre,Kapteinsklip
mc_T01X,1,DUNOON-TABLE VIEW-CIVIC CENTRE,Dunoon,Civic Centre
mc_T02X,1,ATLANTIS-TABLE VIEW-CIVIC CENTRE,Civic Centre,Atlantis
mc_261,1,CENTURY CITY RAIL-OMURAMBA-SALT RIVER-ADDERLEY,Omuramba,Adderley
mc_T02,1,CIVIC CENTRE-TABLE VIEW-ATLANTIS,Civic Centre,Atlantis
mc_T04,1,DUNOON-OMURAMBA-CENTURY CITY,Century City,Dunoon
mc_T01,1,DUNOON-TABLE VIEW-CIVIC CENTRE-WATERFRONT,Dunoon,Waterfront
mc_T03,1,ATLANTIS-MELKBOSSTRAND-TABLE VIEW-CENTURY CITY,Atlantis,Century City
