route_id,agency_id,route_short_name
ga_1-0,GABS,1
ga_1-1,GABS,1
ga_2-0,GABS,2
ga_2-1,GABS,2
ga_3-0,GABS,3
ga_3-1,GABS,3
ga_4-0,GABS,4
ga_4-1,GABS,4
ga_5-0,GABS,5
ga_5-1,GABS,5
ga_6-0,GABS,6
ga_6-1,GABS,6
ga_7-0,GABS,7
ga_7-1,GABS,7
ga_8-0,GABS,8
ga_8-1,GABS,8
ga_9-0,GABS,9
ga_10-0,GABS,10
ga_10-1,GABS,10
ga_11-0,GABS,11
ga_11-1,GABS,11
ga_12-0,GABS,12
ga_12-1,GABS,12
ga_15-0,GABS,15
ga_15-1,GABS,15
ga_15A-0,GABS,15A
ga_15A-1,GABS,15A
ga_16-0,GABS,16
ga_16-1,GABS,16
ga_18-0,GABS,18
ga_18-1,GABS,18
ga_19-0,GABS,19
ga_19-1,GABS,19
ga_21-0,GABS,21
ga_21-1,GABS,21
ga_22-0,GABS,22
ga_22-1,GABS,22
ga_23-0,GABS,23
ga_23-1,GABS,23
ga_24-0,GABS,24
ga_24-1,GABS,24
ga_25-0,GABS,25
ga_25-1,GABS,25
ga_26-0,GABS,26
ga_26-1,GABS,26
ga_27-0,GABS,27
ga_27-1,GABS,27
ga_28-1,GABS,28
ga_29-0,GABS,29
ga_29-1,GABS,29
ga_30-0,GABS,30
ga_30-1,GABS,30
ga_31-0,GABS,31
ga_31-1,GABS,31
ga_32-0,GABS,32
ga_32-1,GABS,32
ga_33-0,GABS,33
ga_33-1,GABS,33
ga_34-0,GABS,34
ga_34-1,GABS,34
ga_35-1,GABS,35
ga_36-0,GABS,36
ga_36-1,GABS,36
ga_37-0,GABS,37
ga_37-1,GABS,37
ga_38-0,GABS,38
ga_38-1,GABS,38
ga_39-0,GABS,39
ga_39-1,GABS,39
ga_40-0,GABS,40
ga_40-1,GABS,40
ga_41-0,GABS,41
ga_41-1,GABS,41
ga_43-0,GABS,43
ga_43-1,GABS,43
ga_44-0,GABS,44
ga_44-1,GABS,44
ga_45-0,GABS,45
ga_45-1,GABS,45
ga_45A-0,GABS,45A
ga_45A-1,GABS,45A
ga_46-0,GABS,46
ga_46-1,GABS,46
ga_47-0,GABS,47
ga_47-1,GABS,47
ga_48-0,GABS,48
